scenario,trial,seed,expect_drift,kind,input_drift_detected,n_drifted_features,n_schema_failures,max_psi,mean_psi,detection_seconds,prediction_drift_detected,prediction_shape_drift,prediction_level_drift,prediction_psi,prediction_mean,prediction_mean_shift,roc_auc,pr_auc,accuracy,scorable
small_drift,6,10006,False,covariate,False,0,0,0.13155,0.020587,0.104435,False,False,False,0.008986,0.24362,0.007088,0.926563,0.828824,0.871,True
small_drift,7,10007,False,covariate,False,0,0,0.113114,0.019992,0.122215,False,False,False,0.013729,0.2453,0.014033,0.909671,0.790099,0.8595,True
small_drift,8,10008,False,covariate,False,0,0,0.118014,0.02,0.102568,False,False,False,0.009324,0.243438,0.006336,0.933088,0.848995,0.8795,True
small_drift,9,10009,False,covariate,False,0,0,0.107808,0.019025,0.106769,False,False,False,0.008393,0.237542,0.018038,0.925787,0.826185,0.878,True
small_drift,10,10010,False,covariate,False,0,0,0.112199,0.020384,0.09093,False,False,False,0.013969,0.234984,0.028611,0.915986,0.799802,0.8645,True
small_drift,11,10011,False,covariate,False,0,0,0.120466,0.020543,0.124859,False,False,False,0.00656,0.240252,0.006836,0.930966,0.828043,0.8775,True
small_drift,12,10012,False,covariate,False,0,0,0.127761,0.020098,0.080211,False,False,False,0.013986,0.231526,0.042908,0.917615,0.805879,0.868,True
small_drift,13,10013,False,covariate,False,0,0,0.127073,0.022065,0.086677,False,False,False,0.014562,0.228344,0.056061,0.928929,0.819482,0.8715,True
small_drift,14,10014,False,covariate,False,0,0,0.105046,0.021395,0.09974,False,False,False,0.013184,0.243084,0.004873,0.91794,0.800976,0.8595,True
small_drift,15,10015,False,covariate,False,0,0,0.116758,0.018649,0.08566,False,False,False,0.014076,0.242061,0.000643,0.921725,0.805858,0.858,True
small_drift,16,10016,False,covariate,False,0,0,0.106832,0.023498,0.079335,False,False,False,0.015656,0.238437,0.014339,0.92057,0.79864,0.86,True
small_drift,17,10017,False,covariate,False,0,0,0.142552,0.022177,0.090211,False,False,False,0.011084,0.240204,0.007034,0.92047,0.797359,0.8665,True
small_drift,18,10018,False,covariate,False,0,0,0.13439,0.024358,0.081832,False,False,False,0.014621,0.242658,0.003111,0.929116,0.832669,0.8785,True
small_drift,19,10019,False,covariate,False,0,0,0.1151,0.019485,0.083621,False,False,False,0.009294,0.245411,0.014492,0.931176,0.825144,0.8725,True
small_drift,20,10020,False,covariate,False,0,0,0.122767,0.020528,0.089491,False,False,False,0.008779,0.243016,0.004593,0.933737,0.839725,0.8715,True
small_drift,21,10021,False,covariate,False,0,0,0.112402,0.018882,0.089981,False,False,False,0.016302,0.242594,0.002849,0.923901,0.816422,0.866,True
small_drift,22,10022,False,covariate,False,0,0,0.095105,0.021005,0.090624,False,False,False,0.015906,0.238597,0.013676,0.926303,0.821919,0.8785,True
small_drift,23,10023,False,covariate,False,0,0,0.12977,0.02006,0.09557,False,False,False,0.012246,0.252224,0.042656,0.92344,0.816902,0.864,True
small_drift,24,10024,False,covariate,False,0,0,0.105795,0.020835,0.104003,False,False,False,0.018119,0.251847,0.041097,0.928402,0.831328,0.8685,True
small_drift,25,10025,False,covariate,False,0,0,0.123395,0.02056,0.091184,False,False,False,0.011362,0.248766,0.028362,0.929644,0.829902,0.875,True
small_drift,26,10026,False,covariate,False,0,0,0.137833,0.019701,0.094174,False,False,False,0.012211,0.234677,0.029879,0.919586,0.806917,0.8605,True
small_drift,27,10027,False,covariate,False,0,0,0.136112,0.020924,0.142319,False,False,False,0.009886,0.23667,0.021644,0.926619,0.832385,0.8755,True
small_drift,28,10028,False,covariate,False,0,0,0.130059,0.023524,0.152212,False,False,False,0.004669,0.24237,0.00192,0.929862,0.831347,0.873,True
small_drift,29,10029,False,covariate,False,0,0,0.111858,0.020383,0.151054,False,False,False,0.007235,0.243103,0.004952,0.923667,0.819387,0.865,True
large_drift,0,10000,True,covariate,True,4,0,5.138972,0.754944,0.226827,True,True,True,0.579042,0.383309,0.584544,0.870289,0.685768,0.791,True
large_drift,1,10001,True,covariate,True,4,0,6.343237,0.850055,0.252798,True,True,True,0.546904,0.396634,0.639627,0.876252,0.712322,0.7835,True
large_drift,2,10002,True,covariate,True,4,0,6.830913,0.887196,0.416872,True,True,True,0.53416,0.377516,0.560593,0.875667,0.690339,0.8045,True
large_drift,3,10003,True,covariate,True,4,0,6.197911,0.855905,0.198276,True,True,True,0.628604,0.409268,0.691854,0.869829,0.758007,0.7935,True
large_drift,4,10004,True,covariate,True,4,0,5.928682,0.817701,0.182919,True,True,True,0.572041,0.375455,0.552075,0.861173,0.676138,0.7705,True
large_drift,5,10005,True,covariate,True,4,0,5.45459,0.783945,0.145463,True,True,True,0.532559,0.376255,0.555382,0.864124,0.675072,0.7975,True
large_drift,6,10006,True,covariate,True,4,0,6.294143,0.853473,0.148511,True,True,True,0.531688,0.372656,0.540505,0.871878,0.686724,0.796,True
large_drift,7,10007,True,covariate,True,4,0,6.050662,0.840852,0.151984,True,True,True,0.534524,0.38434,0.588803,0.840822,0.654956,0.778,True
large_drift,8,10008,True,covariate,True,4,0,6.156485,0.842105,0.191113,True,True,True,0.574789,0.371616,0.536207,0.899279,0.776842,0.8195,True
large_drift,9,10009,True,covariate,True,4,0,6.71882,0.891331,0.19215,True,True,True,0.545554,0.37016,0.530187,0.869852,0.697811,0.807,True
large_drift,10,10010,True,covariate,True,4,0,5.94518,0.818824,0.221773,True,True,True,0.596284,0.379217,0.567628,0.874689,0.737444,0.795,True
large_drift,11,10011,True,covariate,True,4,0,6.322199,0.862408,0.21096,True,True,True,0.556967,0.385413,0.593241,0.887993,0.772897,0.8165,True
large_drift,12,10012,True,covariate,True,4,0,6.014389,0.812077,0.201793,True,True,True,0.470921,0.363227,0.501525,0.863074,0.704757,0.794,True
large_drift,13,10013,True,covariate,True,4,0,5.902831,0.804019,0.186408,True,True,True,0.574895,0.344,0.422044,0.87953,0.724229,0.8215,True
large_drift,14,10014,True,covariate,True,4,0,6.035914,0.835028,0.172,True,True,True,0.601993,0.387369,0.601324,0.880325,0.738943,0.8045,True
large_drift,15,10015,True,covariate,True,4,0,6.591138,0.8762,0.170654,True,True,True,0.506204,0.385883,0.595181,0.890822,0.772998,0.8055,True
large_drift,16,10016,True,covariate,True,4,0,6.130682,0.846135,0.163522,True,True,True,0.640174,0.387759,0.602936,0.859641,0.680782,0.7765,True
large_drift,17,10017,True,covariate,True,4,0,6.24897,0.843205,0.19133,True,True,True,0.614536,0.372677,0.540591,0.859752,0.727307,0.788,True
large_drift,18,10018,True,covariate,True,4,0,6.118857,0.84104,0.19579,True,True,True,0.570677,0.383538,0.58549,0.874397,0.718107,0.7875,True
large_drift,19,10019,True,covariate,True,4,0,6.463165,0.87706,0.206829,True,True,True,0.69863,0.394268,0.629845,0.871075,0.707832,0.787,True
large_drift,20,10020,True,covariate,True,4,0,6.509749,0.866275,0.17661,True,True,True,0.60985,0.392516,0.622603,0.867919,0.709829,0.7895,True
large_drift,21,10021,True,covariate,True,4,0,6.164681,0.83653,0.220048,True,True,True,0.674774,0.387286,0.600981,0.874369,0.703452,0.7945,True
large_drift,22,10022,True,covariate,True,4,0,6.373219,0.861749,0.225438,True,True,True,0.637068,0.376633,0.556943,0.887493,0.678895,0.8255,True
large_drift,23,10023,True,covariate,True,4,0,6.092155,0.842257,0.366644,True,True,True,0.65203,0.388517,0.606071,0.865261,0.742424,0.792,True
large_drift,24,10024,True,covariate,True,4,0,6.715022,0.899526,0.112033,True,True,True,0.677572,0.394645,0.631402,0.864635,0.713054,0.7765,True
large_drift,25,10025,True,covariate,True,4,0,6.719879,0.895564,0.399087,True,True,True,0.596946,0.390736,0.615245,0.88219,0.731901,0.795,True
large_drift,26,10026,True,covariate,True,4,0,6.252937,0.839221,0.226762,True,True,True,0.518591,0.384128,0.587927,0.866718,0.702992,0.779,True
large_drift,27,10027,True,covariate,True,4,0,5.73402,0.802701,0.242016,True,True,True,0.585269,0.377651,0.561152,0.877582,0.731912,0.807,True
large_drift,28,10028,True,covariate,True,4,0,5.649742,0.794013,0.380014,True,True,True,0.598364,0.375867,0.553777,0.888401,0.734203,0.823,True
large_drift,29,10029,True,covariate,True,4,0,6.564129,0.864686,0.245064,True,True,True,0.459583,0.367175,0.517846,0.884497,0.745413,0.822,True
missing_feature,0,10000,True,schema,True,0,2,0.05047,0.008578,0.074206,,,,,,,,,,False
missing_feature,1,10001,True,schema,True,0,2,0.052815,0.01108,0.07051,,,,,,,,,,False
missing_feature,2,10002,True,schema,True,0,2,0.056694,0.010895,0.082071,,,,,,,,,,False
missing_feature,3,10003,True,schema,True,0,2,0.046203,0.008264,0.144059,,,,,,,,,,False
missing_feature,4,10004,True,schema,True,0,2,0.029051,0.006826,0.089645,,,,,,,,,,False
missing_feature,5,10005,True,schema,True,0,2,0.033878,0.007328,0.089362,,,,,,,,,,False
missing_feature,6,10006,True,schema,True,0,2,0.033512,0.008193,0.077696,,,,,,,,,,False
missing_feature,7,10007,True,schema,True,0,2,0.039863,0.008717,0.061857,,,,,,,,,,False
missing_feature,8,10008,True,schema,True,0,2,0.047745,0.00902,0.069443,,,,,,,,,,False
missing_feature,9,10009,True,schema,True,0,2,0.052172,0.009193,0.066702,,,,,,,,,,False
missing_feature,10,10010,True,schema,True,0,2,0.062799,0.010261,0.061462,,,,,,,,,,False
missing_feature,11,10011,True,schema,True,0,2,0.049405,0.009919,0.066602,,,,,,,,,,False
missing_feature,12,10012,True,schema,True,0,2,0.033854,0.009049,0.057471,,,,,,,,,,False
missing_feature,13,10013,True,schema,True,0,2,0.052238,0.010065,0.059313,,,,,,,,,,False
missing_feature,14,10014,True,schema,True,0,2,0.075374,0.011362,0.060087,,,,,,,,,,False
missing_feature,15,10015,True,schema,True,0,2,0.03669,0.007887,0.067077,,,,,,,,,,False
missing_feature,16,10016,True,schema,True,0,2,0.074801,0.013328,0.065896,,,,,,,,,,False
missing_feature,17,10017,True,schema,True,0,2,0.046325,0.009147,0.067295,,,,,,,,,,False
missing_feature,18,10018,True,schema,True,0,2,0.058821,0.010698,0.064447,,,,,,,,,,False
missing_feature,19,10019,True,schema,True,0,2,0.051725,0.008981,0.060502,,,,,,,,,,False
missing_feature,20,10020,True,schema,True,0,2,0.048685,0.010688,0.071651,,,,,,,,,,False
missing_feature,21,10021,True,schema,True,0,2,0.036794,0.008537,0.0677,,,,,,,,,,False
missing_feature,22,10022,True,schema,True,0,2,0.05464,0.011465,0.077768,,,,,,,,,,False
missing_feature,23,10023,True,schema,True,0,2,0.03005,0.008298,0.075566,,,,,,,,,,False
missing_feature,24,10024,True,schema,True,0,2,0.056117,0.011233,0.066567,,,,,,,,,,False
missing_feature,25,10025,True,schema,True,0,2,0.054384,0.009502,0.066543,,,,,,,,,,False
missing_feature,26,10026,True,schema,True,0,2,0.032576,0.008094,0.061167,,,,,,,,,,False
missing_feature,27,10027,True,schema,True,0,2,0.039302,0.009879,0.061102,,,,,,,,,,False
missing_feature,28,10028,True,schema,True,0,2,0.05594,0.011111,0.066202,,,,,,,,,,False
missing_feature,29,10029,True,schema,True,0,2,0.053144,0.010589,0.069532,,,,,,,,,,False
performance_drift,0,10000,True,concept,False,0,0,0.05047,0.008573,0.070125,False,False,False,0.004536,0.223325,0.076806,0.637024,0.601118,0.5735,True
performance_drift,1,10001,True,concept,False,0,0,0.052815,0.009434,0.078465,False,False,False,0.006229,0.23914,0.011432,0.653641,0.592175,0.5845,True
performance_drift,2,10002,True,concept,False,0,0,0.056694,0.010466,0.082594,False,False,False,0.004575,0.228247,0.056463,0.644319,0.609086,0.57,True
performance_drift,3,10003,True,concept,False,0,0,0.046203,0.007932,0.114203,False,False,False,0.005144,0.248957,0.02915,0.664956,0.62735,0.577,True
performance_drift,4,10004,True,concept,False,0,0,0.029051,0.006633,0.121897,False,False,False,0.010148,0.224288,0.072827,0.635219,0.593733,0.5665,True
performance_drift,5,10005,True,concept,False,0,0,0.033878,0.007791,0.097621,False,False,False,0.005369,0.231579,0.042686,0.64473,0.611709,0.567,True
performance_drift,6,10006,True,concept,False,0,0,0.033512,0.007813,0.121394,False,False,False,0.006924,0.236829,0.020985,0.665509,0.63855,0.5895,True
performance_drift,7,10007,True,concept,False,0,0,0.039863,0.008362,0.081926,False,False,False,0.007674,0.237255,0.019224,0.628017,0.601386,0.5685,True
performance_drift,8,10008,True,concept,False,0,0,0.047745,0.008426,0.091801,False,False,False,0.003935,0.236002,0.024404,0.624267,0.585207,0.5695,True
performance_drift,9,10009,True,concept,False,0,0,0.052172,0.00883,0.093317,False,False,False,0.007015,0.229316,0.052042,0.612702,0.573482,0.562,True
performance_drift,10,10010,True,concept,False,0,0,0.062799,0.009542,0.078713,False,False,False,0.0081,0.228306,0.056219,0.635492,0.598126,0.56,True
performance_drift,11,10011,True,concept,False,0,0,0.049405,0.009158,0.086075,False,False,False,0.006513,0.232756,0.037822,0.665442,0.616372,0.5945,True
performance_drift,12,10012,True,concept,False,0,0,0.033854,0.008051,0.10003,False,False,False,0.005107,0.224272,0.072891,0.648211,0.611997,0.5705,True
performance_drift,13,10013,True,concept,False,0,0,0.052238,0.009928,0.09015,False,False,False,0.010914,0.220333,0.089176,0.650645,0.611393,0.577,True
performance_drift,14,10014,True,concept,False,0,0,0.075374,0.010182,0.0864,False,False,False,0.000907,0.235229,0.0276,0.63696,0.619426,0.5545,True
performance_drift,15,10015,True,concept,False,0,0,0.03669,0.007297,0.080537,False,False,False,0.003858,0.234251,0.031641,0.611112,0.569722,0.5595,True
performance_drift,16,10016,True,concept,False,0,0,0.074801,0.012528,0.087155,False,False,False,0.007057,0.230186,0.048445,0.641525,0.598329,0.569,True
performance_drift,17,10017,True,concept,False,0,0,0.046325,0.008965,0.08542,False,False,False,0.007301,0.231748,0.041987,0.63882,0.586478,0.569,True
performance_drift,18,10018,True,concept,False,0,0,0.058821,0.010345,0.080792,False,False,False,0.002674,0.235056,0.028313,0.639591,0.603921,0.564,True
performance_drift,19,10019,True,concept,False,0,0,0.051725,0.008547,0.084764,False,False,False,0.003344,0.239285,0.010833,0.614299,0.582625,0.55,True
performance_drift,20,10020,True,concept,False,0,0,0.048685,0.009946,0.092622,False,False,False,0.008708,0.235094,0.028155,0.644262,0.559663,0.5695,True
performance_drift,21,10021,True,concept,False,0,0,0.036794,0.007852,0.079477,False,False,False,0.002652,0.234804,0.029355,0.627427,0.590481,0.5595,True
performance_drift,22,10022,True,concept,False,0,0,0.05464,0.010442,0.079446,False,False,False,0.005939,0.230747,0.046125,0.631325,0.608375,0.553,True
performance_drift,23,10023,True,concept,False,0,0,0.03005,0.007432,0.076927,False,False,False,0.006176,0.245361,0.014285,0.645119,0.589374,0.567,True
performance_drift,24,10024,True,concept,False,0,0,0.056117,0.010528,0.085978,False,False,False,0.003974,0.243647,0.007199,0.645555,0.619463,0.565,True
performance_drift,25,10025,True,concept,False,0,0,0.054384,0.008641,0.077007,False,False,False,0.002709,0.2415,0.001674,0.644789,0.619078,0.5555,True
performance_drift,26,10026,True,concept,False,0,0,0.032576,0.007132,0.093878,False,False,False,0.008056,0.227717,0.058652,0.651708,0.620182,0.5695,True
performance_drift,27,10027,True,concept,False,0,0,0.039302,0.008546,0.077817,False,False,False,0.002305,0.229123,0.052839,0.637806,0.579237,0.581,True
performance_drift,28,10028,True,concept,False,0,0,0.05594,0.011111,0.094564,False,False,False,0.002979,0.235648,0.025866,0.619434,0.587733,0.5525,True
performance_drift,29,10029,True,concept,False,0,0,0.053144,0.009116,0.095584,False,False,False,0.006655,0.235205,0.027697,0.632031,0.604898,0.55,True
covariate_shift,0,10000,True,covariate,True,2,0,3.013045,0.33723,0.084359,False,False,False,0.062915,0.293421,0.212958,0.921065,0.821975,0.8625,True
